Education	Marital_Status	Income	NumDealsPurchases	NumWebPurchases	NumCatalogPurchases	NumStorePurchases	NumWebVisitsMonth	Complain	Age	Young	Income_Group	Age_Group	TotalPurchases	WebToStoreRatio
4	4	10979.0	2	3	0	3	5	0	35	0.0	1	2	6	0.75
4	3	38620.0	1	2	5	3	3	0	61	0.0	2	3	5	0.5
3	3	40548.0	2	2	1	4	5	0	54	1.0	3	2	6	0.4
5	4	46610.0	6	4	1	6	6	0	72	2.0	3	3	10	0.5714285714285714
4	2	68657.0	1	3	5	9	7	0	78	0.0	4	3	12	0.3
4	1	49389.0	1	2	0	3	7	0	73	2.0	3	3	5	0.5
5	2	67353.0	5	5	6	12	2	0	54	1.0	4	2	17	0.38461538461538464
2	2	23718.0	3	3	1	2	7	0	48	1.0	2	2	5	1.0
3	5	42429.0	2	1	1	3	5	0	51	1.0	3	2	4	0.25
5	4	48948.0	2	7	10	5	6	0	81	0.0	3	4	12	1.1666666666666667
3	2	80011.0	2	8	6	5	4	0	44	1.0	5	2	13	1.3333333333333333
4	2	20559.0	2	2	0	3	8	0	39	1.0	2	2	5	0.5
3	3	21994.0	1	0	0	3	5	0	67	1.0	2	3	3	0.0
5	1	51633.63813405797	1	1	3	4	2	0	65	0.0	3	3	5	0.2
4	2	7500.0	3	2	0	3	5	0	49	1.0	1	2	5	0.5
3	1	79941.0	1	2	4	9	1	0	48	0.0	4	2	11	0.2
2	2	7500.0	3	3	1	3	9	0	28	0.0	1	1	6	0.75
3	3	41728.0	1	2	0	2	10	0	56	1.0	3	3	4	0.6666666666666666
3	1	51633.63813405797	3	2	1	4	6	0	73	3.0	3	3	6	0.4
5	2	72550.0	9	5	2	12	8	0	70	2.0	4	3	17	0.38461538461538464
3	5	65486.0	1	4	2	10	2	0	67	1.0	4	3	14	0.36363636363636365
4	2	79143.0	1	6	9	13	3	0	60	0.0	4	3	19	0.42857142857142855
3	1	35790.0	2	2	0	3	7	0	47	1.0	2	2	5	0.5
3	4	82582.0	1	4	9	7	1	0	47	0.0	5	2	11	0.5
3	2	66373.0	7	4	2	10	3	0	46	2.0	4	2	14	0.36363636363636365
4	3	82384.0	1	3	10	13	1	0	69	0.0	5	3	16	0.21428571428571427
3	4	70287.0	1	5	5	10	3	0	58	0.0	4	3	15	0.45454545454545453
3	1	27938.0	1	1	0	4	3	0	36	1.0	2	2	5	0.2
3	1	51633.63813405797	2	2	0	3	6	0	42	1.0	3	2	5	0.5
5	2	55954.0	3	8	2	6	7	0	56	1.0	3	3	14	1.1428571428571428
4	1	75777.0	1	3	6	11	1	0	42	0.0	4	2	14	0.25
3	3	66653.0	4	4	2	12	3	0	49	2.0	4	2	16	0.3076923076923077
3	1	61823.0	4	8	2	10	7	0	72	1.0	4	3	18	0.7272727272727273
5	5	67680.0	1	7	3	8	5	0	73	1.0	4	3	15	0.7777777777777778
3	3	70666.0	1	7	4	4	4	0	76	0.0	4	3	11	1.4
3	2	25721.0	1	1	1	2	7	0	53	1.0	2	2	3	0.3333333333333333
3	3	32474.0	1	1	0	2	7	0	57	2.0	2	3	3	0.3333333333333333
2	1	88194.0	1	11	10	10	5	0	45	1.0	5	2	21	1.0
3	3	69096.0	1	5	2	10	4	0	66	1.0	4	3	15	0.45454545454545453
3	3	74854.0	7	2	5	5	5	0	54	3.0	4	2	7	0.3333333333333333
4	2	66991.0	3	4	8	6	3	0	70	0.0	4	3	10	0.5714285714285714
2	2	51633.63813405797	3	3	0	3	8	0	51	1.0	3	2	6	0.75
3	2	65031.0	4	10	3	13	7	0	65	1.0	4	3	23	0.7142857142857143
5	2	60631.0	5	9	2	8	7	0	49	2.0	4	2	17	1.0
3	2	28332.0	1	2	1	4	2	0	72	0.0	2	3	6	0.4
3	4	40246.0	1	1	0	2	6	0	47	1.0	3	2	3	0.3333333333333333
4	2	75251.0	1	7	6	5	5	0	52	0.0	4	2	12	1.1666666666666667
3	1	75825.0	0	5	8	9	4	0	48	0.0	4	2	14	0.5
2	3	26326.0	1	0	0	3	3	1	48	0.0	2	2	3	0.0
3	3	56046.0	2	10	1	8	8	0	59	0.0	3	3	18	1.1111111111111112
3	1	29760.0	4	3	1	4	8	0	39	1.0	2	2	7	0.6
3	2	26304.0	1	1	0	2	7	0	55	1.0	2	3	3	0.3333333333333333
2	2	23559.0	3	3	0	3	7	0	51	1.0	2	2	6	0.75
4	3	38620.0	1	2	5	3	3	0	61	0.0	2	3	5	0.5
3	4	81361.0	1	3	10	13	1	0	37	0.0	5	2	16	0.21428571428571427
3	2	29440.0	2	1	0	4	7	0	64	2.0	2	3	5	0.2
4	2	36138.0	5	3	1	4	7	0	54	2.0	2	2	7	0.6
3	1	50388.0	4	6	1	6	7	0	67	1.0	3	3	12	0.8571428571428571
3	2	79593.0	1	5	6	7	2	0	51	0.0	4	2	12	0.625
3	3	54178.0	1	2	2	5	2	0	57	1.0	3	3	7	0.3333333333333333
5	2	51633.63813405797	12	7	2	8	9	0	67	3.0	3	3	15	0.7777777777777778
3	1	51633.63813405797	1	1	0	2	7	0	67	2.0	3	3	3	0.3333333333333333
4	3	51633.63813405797	1	2	4	8	1	0	51	0.0	3	2	10	0.2222222222222222
4	1	42394.0	1	1	0	3	7	0	52	1.0	3	2	4	0.25
5	2	23626.0	3	3	1	3	5	0	54	1.0	2	2	6	0.75
3	2	30096.0	1	2	0	3	6	0	41	1.0	2	2	5	0.5
3	5	47916.0	5	7	4	6	6	0	64	1.0	3	3	13	1.0
3	4	51813.0	2	2	0	3	7	0	52	2.0	3	2	5	0.5
2	2	78497.0	1	5	7	12	2	0	73	0.0	4	3	17	0.38461538461538464
5	2	50150.0	2	5	2	7	5	0	41	0.0	3	2	12	0.625
2	1	47823.0	2	2	0	3	8	0	64	1.0	3	3	5	0.5
5	1	34554.0	2	2	0	3	6	0	65	1.0	2	3	5	0.5
3	3	85693.0	2	9	5	11	5	0	45	1.0	5	2	20	0.75
5	2	65846.0	1	6	3	6	4	0	79	0.0	4	3	12	0.8571428571428571
3	2	87195.0	1	3	11	5	1	0	65	0.0	5	3	8	0.5
1	3	24594.0	1	1	0	3	5	0	45	1.0	2	2	4	0.25
3	2	49096.0	4	4	1	4	7	0	60	2.0	3	3	8	0.8
3	2	52413.0	4	6	4	12	6	0	55	2.0	3	3	18	0.46153846153846156
3	1	38557.0	2	3	1	3	7	0	46	1.0	2	2	6	0.75
4	2	89058.0	1	5	4	4	2	0	64	0.0	5	3	9	1.0
3	3	77298.0	1	6	6	11	3	0	45	1.0	4	2	17	0.5
5	1	68126.0	1	7	4	5	9	0	33	0.0	4	2	12	1.1666666666666667
4	3	57288.0	3	8	1	8	6	0	61	1.0	3	3	16	0.8888888888888888
3	1	86037.0	1	6	7	11	3	0	33	0.0	5	2	17	0.5
5	2	43974.0	5	6	4	6	7	0	44	1.0	3	2	12	0.8571428571428571
3	1	50785.0	2	2	1	3	6	0	62	2.0	3	3	5	0.5
3	2	90765.0	0	4	6	5	1	0	54	0.0	5	2	9	0.6666666666666666
2	2	36550.0	5	9	1	5	9	0	46	1.0	2	2	14	1.5
2	3	30753.0	2	1	1	3	5	0	57	2.0	2	3	4	0.25
3	3	21918.0	2	2	0	3	6	0	55	1.0	2	3	5	0.5
4	3	56129.0	4	6	2	10	4	0	71	1.0	3	3	16	0.5454545454545454
4	1	32557.0	3	2	1	3	5	0	57	1.0	2	3	5	0.5
4	2	19510.0	2	1	0	3	7	0	39	2.0	1	2	4	0.25
3	4	30992.0	1	1	0	3	7	0	48	1.0	2	2	4	0.25
3	1	101970.0	0	6	8	13	2	0	41	0.0	6	2	19	0.42857142857142855
2	3	71488.0	2	3	4	7	1	0	59	0.0	4	3	10	0.375
3	1	79607.0	1	3	6	6	1	0	40	0.0	4	2	9	0.42857142857142855
4	2	54348.0	2	2	0	4	6	0	71	2.0	3	3	6	0.4
5	2	51633.63813405797	3	6	1	7	6	0	63	1.0	3	3	13	0.75
5	3	77376.0	4	6	3	10	4	0	68	2.0	4	3	16	0.5454545454545454
3	2	62998.0	5	5	4	5	5	0	72	1.0	4	3	10	0.8333333333333334
4	6	61331.0	5	11	1	6	8	0	66	2.0	4	3	17	1.5714285714285714
3	2	73448.0	1	7	2	9	4	0	55	0.0	4	3	16	0.7
3	2	51633.63813405797	1	6	5	7	4	0	61	1.0	3	3	13	0.75
5	2	41551.0	5	5	1	5	8	0	60	2.0	3	3	10	0.8333333333333334
5	3	62981.0	1	4	5	13	3	0	57	0.0	4	3	17	0.2857142857142857
1	4	9548.0	2	1	0	3	8	0	48	1.0	1	2	4	0.25
5	2	33762.0	3	2	2	2	8	0	65	3.0	2	3	4	0.6666666666666666
5	6	35860.0	2	1	1	2	5	0	51	2.0	2	2	3	0.3333333333333333
5	4	36921.0	2	2	0	3	7	0	59	2.0	2	3	5	0.5
4	1	92859.0	1	5	4	12	2	0	32	0.0	5	2	17	0.38461538461538464
4	3	65104.0	2	3	5	7	7	0	48	1.0	4	2	10	0.375
3	2	86111.0	1	5	7	10	2	0	62	0.0	5	3	15	0.45454545454545453
5	1	68352.0	3	8	5	9	6	0	50	1.0	4	2	17	0.8
3	3	41883.0	3	4	2	3	7	0	36	1.0	3	2	7	1.0
3	2	59809.0	3	3	3	6	8	0	48	2.0	3	2	9	0.42857142857142855
3	2	23957.0	1	2	0	3	6	0	49	1.0	2	2	5	0.5
3	3	38547.0	1	1	0	2	8	1	43	1.0	2	2	3	0.3333333333333333
2	2	35688.0	7	4	1	4	8	0	51	3.0	2	2	8	0.8
4	2	49605.0	1	2	1	4	3	0	58	0.0	3	3	6	0.4
4	2	59354.0	1	4	4	7	3	0	71	2.0	3	3	11	0.5
3	2	65747.0	4	8	1	6	6	0	55	1.0	4	3	14	1.1428571428571428
2	3	46344.0	4	7	1	5	7	0	52	1.0	3	2	12	1.1666666666666667
3	6	34176.0	4	3	0	4	6	0	36	1.0	2	2	7	0.6
5	3	61010.0	2	8	5	11	5	0	72	1.0	4	3	19	0.6666666666666666
3	3	69372.0	1	10	4	6	4	0	75	0.0	4	3	16	1.4285714285714286
3	1	49967.0	3	6	1	5	7	0	66	1.0	3	3	11	1.0
3	1	60199.0	1	0	0	3	4	0	46	3.0	4	2	3	0.0
3	3	55375.0	1	1	1	6	2	0	47	1.0	3	2	7	0.14285714285714285
3	1	80317.0	1	3	4	10	1	0	69	0.0	5	3	13	0.2727272727272727
4	1	30523.0	1	1	0	2	7	0	66	3.0	2	3	3	0.3333333333333333
5	2	70356.0	2	10	6	9	6	0	79	0.0	4	3	19	1.0
3	2	23228.0	4	3	0	4	8	0	40	1.0	2	2	7	0.6
5	4	74165.0	1	5	4	10	2	0	49	0.0	4	2	15	0.45454545454545453
3	3	43482.0	3	2	0	4	6	0	58	3.0	3	3	6	0.4
3	4	62551.0	1	6	7	4	3	0	71	0.0	4	3	10	1.2
3	4	52332.0	1	3	2	6	4	0	65	0.0	3	3	9	0.42857142857142855
3	1	66951.0	1	3	4	7	1	0	36	0.0	4	2	10	0.375
3	3	26091.0	3	2	1	3	5	0	67	2.0	2	3	5	0.5
3	3	33456.0	2	1	0	3	7	0	59	2.0	2	3	4	0.25
3	2	28718.0	2	2	0	3	8	0	42	1.0	2	2	5	0.5
3	2	50447.0	1	3	1	3	6	0	54	2.0	3	2	6	0.75
5	3	53537.0	2	2	1	3	5	0	65	2.0	3	3	5	0.5
3	1	52074.0	1	2	2	2	4	0	57	1.0	3	3	4	0.6666666666666666
5	2	80427.0	1	11	8	8	5	0	49	1.0	5	2	19	1.2222222222222223
5	2	83837.0	1	9	10	5	4	0	76	0.0	5	3	14	1.5
5	2	38853.0	2	2	0	3	7	0	54	2.0	2	2	5	0.5
3	3	38285.0	1	0	0	3	2	0	65	3.0	2	3	3	0.0
2	2	78497.0	1	5	7	12	2	0	73	0.0	4	3	17	0.38461538461538464
5	2	51650.0	1	4	1	4	5	0	48	1.0	3	2	8	0.8
2	2	16248.0	3	2	1	3	6	0	36	1.0	1	2	5	0.5
4	2	66835.0	1	6	4	13	2	0	78	0.0	4	3	19	0.42857142857142855
4	2	30477.0	1	1	1	3	6	0	40	1.0	2	2	4	0.25
1	2	28249.0	1	2	0	3	6	0	63	0.0	2	3	5	0.5
3	2	25271.0	1	1	1	2	9	0	41	1.0	2	2	3	0.3333333333333333
5	1	32303.0	2	1	0	4	5	0	54	1.0	2	2	5	0.2
3	2	61286.0	2	7	1	8	5	0	58	1.0	4	3	15	0.7777777777777778
3	2	74068.0	1	4	10	9	2	0	48	0.0	4	2	13	0.4
5	2	45759.0	2	2	0	3	7	0	60	2.0	3	3	5	0.5
1	3	24882.0	1	1	1	2	6	0	46	1.0	2	2	3	0.3333333333333333
5	3	66973.0	1	8	7	12	3	0	35	0.0	4	2	20	0.6153846153846154
3	2	38872.0	2	3	0	3	8	0	36	1.0	2	2	6	0.75
3	2	51148.0	4	5	1	6	6	0	51	2.0	3	2	11	0.7142857142857143
3	2	31353.0	2	1	1	2	8	0	47	2.0	2	2	3	0.3333333333333333
4	2	69661.0	1	7	3	12	3	0	44	0.0	4	2	19	0.5384615384615384
3	2	80067.0	1	4	6	6	2	0	70	0.0	5	3	10	0.5714285714285714
3	2	86718.0	1	5	6	5	2	0	70	0.0	5	3	10	0.8333333333333334
5	1	46854.0	6	5	1	3	8	0	51	2.0	3	2	8	1.25
3	4	69142.0	3	8	1	7	5	0	72	1.0	4	3	15	1.0
3	1	75922.0	1	4	4	9	1	0	56	0.0	4	3	13	0.4
3	4	63693.0	3	11	6	9	6	0	46	1.0	4	2	20	1.1
5	3	102160.0	0	7	9	10	4	0	47	0.0	6	2	17	0.6363636363636364
5	1	40637.0	2	1	0	3	7	0	59	2.0	3	3	4	0.25
4	1	18890.0	1	0	1	2	6	0	40	0.0	1	2	2	0.0
3	3	29604.0	1	1	0	3	9	0	36	1.0	2	2	4	0.25
4	4	48721.0	6	4	2	5	6	0	61	2.0	3	3	9	0.6666666666666666
3	2	44794.0	1	2	0	3	6	0	58	1.0	3	3	5	0.5
3	4	64497.0	5	11	4	9	8	0	70	1.0	4	3	20	1.1
3	3	46097.0	5	3	1	6	4	0	68	1.0	3	3	9	0.42857142857142855
3	3	77972.0	1	4	6	9	1	0	70	0.0	4	3	13	0.4
5	2	44377.0	8	5	1	5	8	0	56	2.0	3	3	10	0.8333333333333334
4	3	46014.0	10	7	1	8	7	0	50	2.0	3	2	15	0.7777777777777778
3	2	70951.0	1	3	4	9	1	0	39	0.0	4	2	12	0.3
3	2	41443.0	6	8	1	5	8	0	47	1.0	3	2	13	1.3333333333333333
2	1	52195.0	1	1	0	2	8	0	46	3.0	3	2	3	0.3333333333333333
4	2	83790.0	1	8	10	6	3	0	76	0.0	5	3	14	1.1428571428571428
4	5	44551.0	2	4	1	5	7	0	70	1.0	3	3	9	0.6666666666666666
3	3	69508.0	2	11	4	11	6	0	44	1.0	4	2	22	0.9166666666666666
2	3	45204.0	1	1	1	4	3	0	36	1.0	3	2	5	0.2
3	2	72460.0	1	3	5	7	1	0	55	0.0	4	3	10	0.375
5	3	77622.0	2	6	3	11	3	0	54	2.0	4	2	17	0.5
5	2	30732.0	4	4	1	4	8	0	44	1.0	2	2	8	0.8
3	4	63887.0	5	9	6	12	6	0	62	1.0	4	3	21	0.6923076923076923
3	3	42011.0	4	3	1	4	8	0	46	1.0	3	2	7	0.6
3	3	51369.0	2	8	2	4	8	0	48	1.0	3	2	12	1.6
3	4	51537.0	3	2	2	11	8	0	72	1.0	3	3	13	0.16666666666666666
5	2	79930.0	1	3	5	8	2	0	52	0.0	4	2	11	0.3333333333333333
5	3	34320.0	1	1	0	2	8	0	38	1.0	2	2	3	0.3333333333333333
3	1	37070.0	9	5	1	8	7	0	58	2.0	2	3	13	0.5555555555555556
2	4	81975.0	1	6	3	4	7	0	62	1.0	5	3	10	1.2
3	3	38590.0	1	1	0	2	8	0	53	1.0	2	2	3	0.3333333333333333
3	1	15033.0	1	1	0	3	3	0	73	0.0	1	3	4	0.25
5	2	62745.0	3	7	8	11	5	0	59	1.0	4	3	18	0.5833333333333334
2	2	22212.0	2	2	0	4	6	0	49	1.0	2	2	6	0.4
4	3	23661.0	1	1	0	3	7	0	42	1.0	2	2	4	0.25
5	1	79761.0	1	5	2	11	3	0	66	1.0	4	3	16	0.4166666666666667
3	1	7500.0	4	3	1	3	7	0	51	1.0	1	2	6	0.75
3	5	73455.0	1	6	5	10	3	0	56	0.0	4	3	16	0.5454545454545454
3	3	64961.0	2	6	4	4	3	0	66	1.0	4	3	10	1.2
3	1	22804.0	1	2	0	2	9	0	53	1.0	2	2	4	0.6666666666666666
3	2	73687.0	1	3	9	9	2	0	34	0.0	4	2	12	0.3
3	2	61074.0	7	11	5	8	7	0	66	1.0	4	3	19	1.2222222222222223
5	2	31686.0	2	1	0	3	6	0	60	2.0	2	3	4	0.25
3	2	80134.0	2	5	3	6	6	0	52	1.0	5	2	11	0.7142857142857143
3	2	75027.0	2	9	4	6	5	0	71	1.0	4	3	15	1.2857142857142858
5	2	67546.0	1	4	10	5	3	0	36	0.0	4	2	9	0.6666666666666666
4	3	65176.0	4	9	6	6	6	0	55	1.0	4	3	15	1.2857142857142858
4	1	31160.0	2	2	0	3	8	0	49	1.0	2	2	5	0.5
3	1	29938.0	2	1	0	3	6	0	39	1.0	2	2	4	0.25
3	4	102692.0	1	6	9	13	2	0	50	0.0	6	2	19	0.42857142857142855
2	3	26490.0	2	3	1	5	6	0	66	0.0	2	3	8	0.5
3	3	75702.0	5	4	6	11	8	0	57	2.0	4	3	15	0.3333333333333333
5	1	30899.0	2	1	0	3	6	0	50	1.0	2	2	4	0.25
5	3	63342.0	3	8	3	5	6	0	63	1.0	4	3	13	1.3333333333333333
3	1	45989.0	4	3	2	7	3	0	60	1.0	3	3	10	0.375
3	1	18701.0	4	2	0	4	5	0	60	2.0	1	3	6	0.4
5	1	40737.0	1	1	0	2	8	0	67	3.0	3	3	3	0.3333333333333333
3	4	15287.0	2	1	1	2	7	0	45	1.0	1	2	3	0.3333333333333333
5	4	69674.0	3	10	2	10	5	0	56	2.0	4	3	20	0.9090909090909091
4	2	44159.0	4	4	1	6	5	0	54	1.0	3	2	10	0.5714285714285714
5	2	37717.0	1	1	0	2	9	0	46	1.0	2	2	3	0.3333333333333333
4	3	43776.0	6	5	2	4	8	0	72	2.0	3	3	9	1.0
4	2	38179.0	4	3	1	3	7	0	58	2.0	2	3	6	0.75
3	2	80124.0	1	3	7	8	1	0	61	0.0	5	3	11	0.3333333333333333
5	2	38097.0	4	3	2	2	7	0	54	2.0	2	2	5	1.0
3	2	72940.0	1	3	3	6	1	0	54	0.0	4	2	9	0.42857142857142855
3	3	22070.0	2	2	2	2	6	0	54	1.0	2	2	4	0.6666666666666666
3	1	69267.0	2	3	4	5	7	0	71	0.0	4	3	8	0.5
4	1	31788.0	3	3	0	4	5	1	41	1.0	2	2	7	0.6
5	3	61905.0	2	4	2	4	5	0	49	1.0	4	2	8	0.8
3	2	29315.0	4	2	0	4	6	0	64	2.0	2	3	6	0.4
3	4	33378.0	3	2	0	4	7	0	61	2.0	2	3	6	0.4
5	3	66313.0	2	6	3	12	4	0	61	1.0	4	3	18	0.46153846153846156
3	1	60714.0	2	7	4	10	5	0	68	0.0	4	3	17	0.6363636363636364
4	3	77882.0	1	3	3	5	1	0	43	0.0	4	2	8	0.5
5	1	69867.0	1	3	5	8	1	0	38	0.0	4	2	11	0.3333333333333333
4	4	63841.0	1	9	3	9	6	0	56	1.0	4	3	18	0.9
1	2	24480.0	3	3	0	4	7	0	43	1.0	2	2	7	0.6
3	3	51369.0	2	8	2	4	8	0	48	1.0	3	2	12	1.6
3	3	37760.0	2	4	1	6	7	0	78	0.0	2	3	10	0.5714285714285714
5	3	65640.0	1	5	1	8	2	0	50	1.0	4	2	13	0.5555555555555556
4	2	44319.0	2	2	0	3	5	0	49	2.0	3	2	5	0.5
3	2	30631.0	1	3	1	2	7	0	50	1.0	2	2	5	1.0
3	3	75278.0	1	6	3	13	3	0	72	0.0	4	3	19	0.42857142857142855
4	3	50898.0	13	6	2	12	5	0	68	2.0	3	3	18	0.46153846153846156
3	5	79946.0	1	5	11	5	3	0	58	0.0	4	3	10	0.8333333333333334
4	4	35416.0	3	7	1	5	8	0	75	0.0	2	3	12	1.1666666666666667
2	3	32414.0	1	1	0	3	7	0	40	0.0	2	2	4	0.25
3	3	38361.0	3	3	1	3	7	0	55	1.0	2	3	6	0.75
3	2	82497.0	1	2	7	9	4	0	44	0.0	5	2	11	0.2
3	3	16626.0	3	3	0	3	9	0	53	2.0	1	2	6	0.75
3	3	29672.0	1	0	0	3	6	0	59	2.0	2	3	3	0.0
4	3	55951.0	3	3	6	11	8	0	72	1.0	3	3	14	0.25
2	4	35388.0	1	1	0	3	7	0	36	1.0	2	2	4	0.25
4	3	42386.0	1	3	0	3	8	0	38	1.0	3	2	6	0.75
3	1	68627.0	1	2	3	6	1	0	42	0.0	4	2	8	0.2857142857142857
5	4	57912.0	5	8	3	12	5	0	59	1.0	3	3	20	0.6153846153846154
3	4	35246.0	4	3	1	3	5	0	66	2.0	2	3	6	0.75
2	3	58821.0	1	9	2	9	6	0	68	1.0	3	3	18	0.9
5	2	46377.0	1	2	1	3	4	0	46	1.0	3	2	5	0.5
3	1	39747.0	3	5	1	4	8	0	36	1.0	2	2	9	1.0
3	3	23976.0	3	3	1	3	7	0	40	1.0	2	2	6	0.75
4	2	80950.0	1	6	7	9	2	0	63	0.0	5	3	15	0.6
3	5	27038.0	1	3	0	3	9	0	58	0.0	2	3	6	0.75
3	1	77457.0	1	2	5	10	1	0	77	0.0	4	3	12	0.18181818181818182
4	2	64100.0	1	8	3	6	7	0	60	1.0	4	3	14	1.1428571428571428
4	3	42670.0	1	4	2	4	4	0	32	0.0	3	2	8	0.8
3	4	12571.0	4	3	1	3	6	0	48	1.0	1	2	6	0.75
3	2	22574.0	2	2	0	3	7	0	57	3.0	2	3	5	0.5
3	2	51633.63813405797	1	6	5	12	3	0	35	0.0	3	2	18	0.46153846153846156
4	1	70893.0	1	6	6	10	3	0	48	0.0	4	2	16	0.5454545454545454
3	2	54198.0	6	3	1	6	4	0	58	2.0	3	3	9	0.42857142857142855
4	3	28839.0	2	2	0	3	5	0	68	2.0	2	3	5	0.5
3	2	40321.0	2	3	0	3	7	0	52	2.0	3	2	6	0.75
3	1	66503.0	2	4	3	6	3	0	39	1.0	4	2	10	0.5714285714285714
3	2	30833.0	2	1	0	3	5	0	73	2.0	2	3	4	0.25
3	1	51633.63813405797	6	2	3	10	7	0	54	3.0	3	2	12	0.18181818181818182
3	2	64795.0	3	3	3	12	2	0	53	1.0	4	2	15	0.23076923076923078
3	2	34421.0	1	1	0	2	7	0	50	1.0	2	2	3	0.3333333333333333
5	4	47025.0	1	1	0	2	7	0	59	2.0	3	3	3	0.3333333333333333
5	4	64325.0	5	10	3	5	7	0	63	1.0	4	3	15	1.6666666666666667
3	1	40464.0	6	8	2	8	8	0	71	1.0	3	3	16	0.8888888888888888
3	2	62187.0	1	4	8	5	3	0	67	0.0	4	3	9	0.6666666666666666
5	4	14849.0	3	2	0	4	8	0	48	1.0	1	2	6	0.4
3	2	27255.0	1	1	0	3	7	0	40	1.0	2	2	4	0.25
5	2	54432.0	1	1	0	3	4	0	74	3.0	3	3	4	0.25
5	1	29999.0	4	3	1	4	8	0	38	1.0	2	2	7	0.6
3	1	24072.0	1	1	0	2	8	0	41	1.0	2	2	3	0.3333333333333333
5	1	33996.0	1	1	1	3	4	0	35	0.0	2	2	4	0.25
5	2	66334.0	2	9	3	5	5	0	68	1.0	4	3	14	1.5
4	2	35178.0	1	1	1	2	7	0	53	1.0	2	2	3	0.3333333333333333
3	3	22010.0	2	2	0	3	8	0	41	1.0	2	2	5	0.5
3	4	62204.0	1	4	5	12	3	0	64	2.0	4	3	16	0.3076923076923077
3	4	75693.0	1	11	4	6	4	0	56	0.0	4	3	17	1.5714285714285714
3	2	30675.0	1	1	0	3	8	0	52	1.0	2	2	4	0.25
3	3	83003.0	1	7	6	8	3	0	59	0.0	5	3	15	0.7777777777777778
3	1	68655.0	1	4	5	11	3	0	36	0.0	4	2	15	0.3333333333333333
3	4	41411.0	1	2	1	4	6	0	38	0.0	3	2	6	0.4
5	2	55212.0	3	4	2	11	8	0	55	1.0	3	3	15	0.3333333333333333
5	3	59292.0	2	3	5	8	3	0	74	1.0	3	3	11	0.3333333333333333
1	3	27190.0	1	1	0	2	8	0	51	1.0	2	2	3	0.3333333333333333
3	4	82623.0	1	2	9	4	1	0	72	0.0	5	3	6	0.4
3	2	44300.0	2	1	0	3	6	0	59	2.0	3	3	4	0.25
3	4	84835.0	1	4	4	6	1	0	54	0.0	5	2	10	0.5714285714285714
3	5	30372.0	3	2	0	3	7	0	53	2.0	2	2	5	0.5
4	2	33181.0	1	1	0	2	6	0	48	1.0	2	2	3	0.3333333333333333
3	2	71113.0	4	6	7	9	4	0	67	1.0	4	3	15	0.6
3	2	71952.0	2	8	4	8	4	0	38	1.0	4	2	16	0.8888888888888888
5	1	69759.0	3	4	6	5	3	0	58	0.0	4	3	9	0.6666666666666666
3	2	72099.0	1	3	4	10	1	0	50	0.0	4	2	13	0.2727272727272727
